team,season,season_end_year,wins,losses,win_pct,predicted_wins,predicted_win_pct,selected_model,lasso_alpha,rank_blend,training_seasons,win_total_line,actual_wins_odds_source,actual_losses_odds_source,source_result,championship_odds,source_url,scheduled_games_for_line,pick,model_edge_wins,comparison_actual_wins,model_abs_error_wins,market_abs_error_wins,grade,stake,profit,cash_return
Miami Heat,2016-17,2017,41,41,0.5,32.131016986803004,0.39184167057076835,rank_calibrated_lasso,0.5359821146546927,0.6,3,34.5,41,41,over,+17500,https://www.basketball-reference.com/leagues/NBA_2017_preseason_odds.html,82,under,-2.3689830131969956,41.0,8.868983013196996,6.5,loss,10.0,-10.0,0.0
Milwaukee Bucks,2016-17,2017,42,40,0.5121951,34.35282738487983,0.4189369193278028,rank_calibrated_lasso,0.5359821146546927,0.6,3,34.5,42,40,over,+18000,https://www.basketball-reference.com/leagues/NBA_2017_preseason_odds.html,82,under,-0.14717261512016933,42.0,7.647172615120169,7.5,loss,10.0,-10.0,0.0
Minnesota Timberwolves,2016-17,2017,31,51,0.37804878,40.92823734668397,0.49912484569126797,rank_calibrated_lasso,0.5359821146546927,0.6,3,41.5,31,51,under,+10000,https://www.basketball-reference.com/leagues/NBA_2017_preseason_odds.html,82,under,-0.5717626533160285,31.0,9.928237346683972,10.5,win,10.0,9.090909090909092,19.090909090909093
New Orleans Pelicans,2016-17,2017,34,48,0.41463414,47.302284563271925,0.5768571288203893,rank_calibrated_lasso,0.5359821146546927,0.6,3,36.5,34,48,under,+14500,https://www.basketball-reference.com/leagues/NBA_2017_preseason_odds.html,82,over,10.802284563271925,34.0,13.302284563271925,2.5,loss,10.0,-10.0,0.0
New York Knicks,2016-17,2017,31,51,0.37804878,38.54812506991248,0.4700990862184449,rank_calibrated_lasso,0.5359821146546927,0.6,3,38.5,31,51,under,+7500,https://www.basketball-reference.com/leagues/NBA_2017_preseason_odds.html,82,over,0.04812506991248,31.0,7.54812506991248,7.5,loss,10.0,-10.0,0.0
Oklahoma City Thunder,2016-17,2017,47,35,0.5731707,49.41614481880554,0.6026359124244578,rank_calibrated_lasso,0.5359821146546927,0.6,3,45.0,47,35,over,+6000,https://www.basketball-reference.com/leagues/NBA_2017_preseason_odds.html,82,over,4.416144818805542,47.0,2.4161448188055417,2.0,win,10.0,9.090909090909092,19.090909090909093
Orlando Magic,2016-17,2017,29,53,0.35365853,26.0039213301005,0.3171209918304939,rank_calibrated_lasso,0.5359821146546927,0.6,3,37.5,29,53,under,+22500,https://www.basketball-reference.com/leagues/NBA_2017_preseason_odds.html,82,under,-11.4960786698995,29.0,2.9960786698995,8.5,win,10.0,9.090909090909092,19.090909090909093
Philadelphia 76ers,2016-17,2017,28,54,0.34146342,19.993053669302263,0.24381772767441784,rank_calibrated_lasso,0.5359821146546927,0.6,3,23.5,28,54,over,+50000,https://www.basketball-reference.com/leagues/NBA_2017_preseason_odds.html,82,under,-3.506946330697737,28.0,8.006946330697737,4.5,loss,10.0,-10.0,0.0
Phoenix Suns,2016-17,2017,24,58,0.29268292,28.378140772456792,0.3460748874689853,rank_calibrated_lasso,0.5359821146546927,0.6,3,29.5,24,58,under,+85000,https://www.basketball-reference.com/leagues/NBA_2017_preseason_odds.html,82,under,-1.121859227543208,24.0,4.378140772456792,5.5,win,10.0,9.090909090909092,19.090909090909093
Portland Trail Blazers,2016-17,2017,41,41,0.5,45.62612947475712,0.5564162131067941,rank_calibrated_lasso,0.5359821146546927,0.6,3,45.5,41,41,under,+13000,https://www.basketball-reference.com/leagues/NBA_2017_preseason_odds.html,82,over,0.12612947475712133,41.0,4.626129474757121,4.5,loss,10.0,-10.0,0.0
Sacramento Kings,2016-17,2017,32,50,0.3902439,36.17299692085153,0.44113410879087234,rank_calibrated_lasso,0.5359821146546927,0.6,3,33.5,32,50,under,+50000,https://www.basketball-reference.com/leagues/NBA_2017_preseason_odds.html,82,over,2.6729969208515314,32.0,4.172996920851531,1.5,loss,10.0,-10.0,0.0
San Antonio Spurs,2016-17,2017,61,21,0.74390244,60.72476207555019,0.7405458789701242,rank_calibrated_lasso,0.5359821146546927,0.6,3,57.5,61,21,over,+925,https://www.basketball-reference.com/leagues/NBA_2017_preseason_odds.html,82,over,3.2247620755501885,61.0,0.27523792444981154,3.5,win,10.0,9.090909090909092,19.090909090909093
