model,parameter,validationMaeWins,validationRmseWins,validationR2,holdoutMaeWins,holdoutRmseWins,holdoutR2
lasso,0.1259342366038379,7.053740900676218,8.832838561477304,0.43439803795413867,8.434205943771513,11.078527425197093,0.31369745027077933
ridge,1.0,7.0546807139879775,8.842461830831128,0.4331649337831208,8.419406443246807,11.114480383011584,0.30923573009593064
elastic_net,0.1,7.059199194174668,8.828522612702164,0.4349506378198418,8.432625436998569,11.073136144793459,0.3143652554844133
