model,cv_rmse_wins,mae_wins,rmse_wins,r2,prediction_std_wins,prediction_range_wins,actual_std_wins,actual_range_wins,mean_error_wins,feature_mode
lasso_relative_ratings_history_compact,8.914040863458291,8.76508230876563,11.183185516666597,0.3006692949611417,8.338587218343006,34.66579745413693,13.372857935086333,51.00000085999999,-0.0420907781690022,relative_ratings_history_compact
lasso_relative_ratings_history,8.930871677323179,8.831664110043198,11.229600185748591,0.2948522471247419,8.198819474403034,34.00138332378086,13.372857935086333,51.00000085999999,-0.04727632108796964,relative_ratings_history
elastic_net_engineered,8.971481227697073,8.758456142835884,11.19590279266758,0.29907786318658713,7.992411066540135,32.63492657331663,13.372857935086333,51.00000085999999,0.3334238420562182,full
lasso_no_rank_positions,8.97645354647765,8.850624412401439,11.302169695666775,0.2857089878463488,8.030836193720383,33.12703024917902,13.372857935086333,51.00000085999999,0.2531712371793337,no_rank_positions
lasso_weighted_only,8.976610779852109,8.8506250426563,11.302170332508894,0.2857089073501917,8.030836925477583,33.127024862424065,13.372857935086333,51.00000085999999,0.2531712426639084,weighted_only
lasso_engineered,8.984404477371779,8.96409638499656,11.29678175064826,0.28638985593905864,7.523411776314863,30.543546695245187,13.372857935086333,51.00000085999999,0.029116325054018333,full
ridge_engineered,9.063710868551748,8.871833893447425,11.375811939082244,0.27637036260367664,8.222902694028988,34.51553023304513,13.372857935086333,51.00000085999999,0.5637389561916666,full
lasso_relative_ratings,9.332804648174598,9.375185447263199,11.741701432557575,0.22907238247543382,7.169716048944696,32.46269170318905,13.372857935086333,51.00000085999999,-0.037857506545450725,relative_ratings
lasso_relative_weighted,9.344996614235587,9.459530533765498,11.846910140076197,0.21519506248867237,6.987573015885436,34.76228126534036,13.372857935086333,51.00000085999999,0.2798795690598953,relative_weighted
extra_trees_engineered,9.35400667665394,9.122873290839907,11.55461968405042,0.25344321147062965,7.663532015842899,27.52593565436078,13.372857935086333,51.00000085999999,1.3047142175769495,full
