repetition,rows,maeWins,rmseWins,r2,biasWins,predictionStdWins,actualStdWins,predictionRangeWins,actualRangeWins
0,300,11.339173703032424,14.020257092614594,-0.3610331832970264,0.01263916197770738,5.625473341605697,12.01770725259019,35.00465016987995,54.00000037999999
1,300,9.645323997126912,12.40601988044,-0.06566745908509009,0.01094141747983958,5.735628677051551,12.01770725259019,34.598401340681896,54.00000037999999
2,300,10.594407213546763,13.104884890576505,-0.18911314520108546,0.011748316003008389,5.735918414835057,12.01770725259019,34.974464706166614,54.00000037999999
3,300,10.090029173176623,12.675492338153028,-0.11246519688155843,0.01240151352043359,5.754481928218964,12.01770725259019,36.049985577849924,54.00000037999999
4,300,9.953701219740127,12.317822256682277,-0.050569105031197825,0.008820728620299955,5.879763412243443,12.01770725259019,34.22567635209707,54.00000037999999
5,300,10.533438000567864,13.21992019015355,-0.21008095415548667,0.0074246556131927,5.803200567448109,12.01770725259019,37.71001541352287,54.00000037999999
6,300,10.46395389102201,13.058418807318903,-0.18069560096041215,0.012300482539623302,5.65512600516744,12.01770725259019,34.01988801898425,54.00000037999999
7,300,10.918293783332631,13.5985488763926,-0.2803888751416108,0.009556327985824021,5.763919597145642,12.01770725259019,35.873213350111484,54.00000037999999
8,300,10.276704297856801,12.819593214870729,-0.13790301487732903,0.0167878163584878,5.659739541820886,12.01770725259019,36.48060566412668,54.00000037999999
9,300,11.493903775871292,14.074641969732287,-0.37161261615421903,0.013817209700340954,5.750554460538412,12.01770725259019,33.51163747485348,54.00000037999999
10,300,10.71222410307117,13.249148386404276,-0.21543765549039562,0.01555266236260465,5.867577062102925,12.01770725259019,35.467161842749384,54.00000037999999
11,300,10.21142543821106,12.66618168082874,-0.11083149653225832,0.01941594192502425,5.763453790023406,12.01770725259019,35.69795900859377,54.00000037999999
12,300,10.596115019489984,13.038831231361147,-0.17715618015755896,0.01437593333217792,5.73930297773968,12.01770725259019,39.31354761205678,54.00000037999999
13,300,10.968332801589527,13.67324826934504,-0.29449434604103186,0.016596876338133556,5.631686907586319,12.01770725259019,34.10174723036699,54.00000037999999
14,300,10.226596804710022,12.806282730862877,-0.1355412898802053,0.011196124597425468,5.673132005631398,12.01770725259019,34.69220045298054,54.00000037999999
15,300,9.78729411274074,11.973246957151911,0.007385444264437657,0.001947434150482709,5.81394832448885,12.01770725259019,36.70511415682742,54.00000037999999
16,300,11.482237155099904,14.161679337855443,-0.3886291312865715,0.017288701634420464,5.826212577295363,12.01770725259019,38.31415082384744,54.00000037999999
17,300,10.516652466177108,12.640048665386143,-0.10625246387544185,0.014081942082531355,5.6823738594269,12.01770725259019,38.76057309668211,54.00000037999999
18,300,10.976599381365103,13.639330947232764,-0.2880801677323559,0.010954495353746055,5.734099226621451,12.01770725259019,37.289991261886314,54.00000037999999
19,300,10.443735049948897,12.927370829946664,-0.15711673032936013,0.01831826056057436,5.845610559890041,12.01770725259019,39.85451811152657,54.00000037999999
20,300,10.52898272375903,12.887626620007689,-0.15001273424106398,0.010901676783333702,5.7399678198872826,12.01770725259019,34.97110128199292,54.00000037999999
21,300,10.763686501743889,13.316994075211745,-0.22791745223586468,0.017531576153785422,5.6556267015183765,12.01770725259019,34.990661568288054,54.00000037999999
22,300,10.998484933533987,13.417055864939929,-0.2464395332923146,0.012994396119678958,5.599211613774238,12.01770725259019,36.13321215163174,54.00000037999999
23,300,10.515172738323669,13.200188360947982,-0.2064713572618011,0.012699654510115815,5.724177363272155,12.01770725259019,35.42055416571754,54.00000037999999
24,300,11.012162393486431,13.576109284190501,-0.2761667042361531,0.010766549389664502,5.779119655036929,12.01770725259019,37.51420181561547,54.00000037999999
25,300,9.93165784419446,12.334978749414157,-0.05349764758966424,0.014747658777048294,5.8580588057249825,12.01770725259019,39.54901776842062,54.00000037999999
26,300,9.767806086050257,12.223139625179924,-0.0344804900175657,0.014174952121980161,5.4840797115402955,12.01770725259019,34.28332237794535,54.00000037999999
27,300,10.732347951688556,13.405296209054923,-0.24425555543332123,0.013841987673070608,5.532608840302958,12.01770725259019,34.12979914285033,54.00000037999999
28,300,10.365439335578342,12.8804662168687,-0.14873518834941568,0.007793015609575491,5.8262016923071585,12.01770725259019,34.57469050649726,54.00000037999999
29,300,10.254270974579267,13.0516502046705,-0.17947193241046255,0.014154981441155302,5.564875920325585,12.01770725259019,36.05605954917437,54.00000037999999
30,300,11.428808615459147,13.932411514032221,-0.34403118601992433,0.019217299411204133,5.724749196818367,12.01770725259019,35.82331798053202,54.00000037999999
31,300,10.912831446206427,13.52319246496052,-0.26623763381047216,0.012221836138115035,5.58427268996349,12.01770725259019,34.39710261285704,54.00000037999999
32,300,10.212267710844547,12.594424051675219,-0.09828077769101085,0.018057520120301655,5.830383016055149,12.01770725259019,38.40607649511629,54.00000037999999
33,300,10.687280565930205,13.265169291265837,-0.21837885344828556,0.013894084761154796,5.690953846679901,12.01770725259019,35.82925441789153,54.00000037999999
34,300,11.309148418094319,13.933061991497201,-0.34415668940555966,0.01091521759480924,5.762862680003125,12.01770725259019,36.16622149119699,54.00000037999999
35,300,10.85398270188159,13.574952946185398,-0.2759493198316927,0.012332806946958784,5.725078332781507,12.01770725259019,36.42331229740127,54.00000037999999
