model,scope,rows,maeWins,rmseWins,r2,biasWins,predictionStdWins,actualStdWins,predictionRangeWins,actualRangeWins
rank_calibrated_lasso,all_10_seasons,300,7.101342192468494,9.217785641846538,0.4116849372729823,-0.010142994496701726,9.864147586598929,12.01770725259019,50.353646622578445,54.00000037999999
rank_calibrated_lasso,2024-25_and_2025-26,60,8.448480953902237,11.256000382268939,0.2915328196107283,-0.042878554995331025,9.824219173455022,13.372857935086333,39.64725973230799,51.00000085999999
prior_season,all_10_seasons,300,8.449171500333334,10.989453764309761,0.163802295032365,-1.3666666802691908e-08,12.02214432515073,12.01770725259019,62.999999759999994,54.00000037999999
prior_season,2024-25_and_2025-26,60,9.766666552666663,12.739701705011356,0.09245105417004973,-1.0933333302413454e-07,13.158013806118365,13.372857935086333,54.00000037999999,51.00000085999999
prior_three_seasons,all_10_seasons,300,9.611334948511113,12.404601977747735,-0.06542387952840767,4.555555648266818e-09,9.882045724044001,12.01770725259019,53.33333299999999,54.00000037999999
prior_three_seasons,2024-25_and_2025-26,60,10.977777793444448,14.108704934254384,-0.11307861707393818,-1.4122222218304615e-07,9.51081226692764,13.372857935086333,42.666666400000004,51.00000085999999
league_mean_41,all_10_seasons,300,9.997954427,12.017779402734455,-1.2007342054864978e-05,0.04164329273333333,0.0,12.01770725259019,0.0,54.00000037999999
league_mean_41,2024-25_and_2025-26,60,11.099999782000001,13.372857935086333,-2.220446049250313e-16,2.7333333522487162e-08,0.0,13.372857935086333,0.0,51.00000085999999
preseason_market,all_10_seasons,300,6.746352519533333,8.566927131022837,0.49183247834707733,-0.10002337393333338,10.084679662185055,12.01770725259019,49.0,54.00000037999999
preseason_market,2024-25_and_2025-26,60,7.916666755333332,10.175952181032898,0.42096921661147146,0.2666666940000003,10.909272304889187,13.372857935086333,44.0,51.00000085999999
