dimension,segment,rows,maeWins,rmseWins,biasWins
continuityTier,0-4 returning,84,7.622141324754009,9.756730912689257,1.348655524263294
continuityTier,5-7 returning,186,6.9833654429511824,9.025652480071017,-0.4303802703363637
continuityTier,8-10 returning,30,6.374560469076395,8.835507343593454,-1.2093077368187855
actualWinTier,under 30,65,8.979815609568698,11.86822312414441,7.873171408346409
actualWinTier,30-49,157,6.396239291131031,8.045443881222441,-0.42169818907330836
actualWinTier,50+,78,6.95519326167963,8.895573356085215,-5.751184925730997
season_end_year,2017,30,5.38581553365541,6.739341893666057,-0.02907440422570661
season_end_year,2018,30,5.766266743673467,7.3301403060823,-0.04194870928363485
season_end_year,2019,30,7.637023398547276,8.917511143083772,-0.014833319264408236
season_end_year,2020,30,7.274977289661816,9.54344874998592,0.390019412718271
season_end_year,2021,30,7.477929667265283,10.407246345861768,-0.15120536422863776
season_end_year,2022,30,7.712622035080028,9.541852732088287,-0.06257824129373321
season_end_year,2023,30,5.24928107514607,6.568250153102374,-0.055893044322947935
season_end_year,2024,30,7.61254427385113,9.166890800254794,-0.050159165075557274
season_end_year,2025,30,8.06218208920411,10.725549409333182,-0.04495915423774643
season_end_year,2026,30,8.834779818600365,11.762554105262584,-0.04079795575291563
