model,seasonEndYear,rows,maeWins,rmseWins,r2,biasWins,predictionStdWins,actualStdWins,predictionRangeWins,actualRangeWins
rank_calibrated_lasso,2017,30,5.38581553365541,6.739341893666057,0.6246385807380395,-0.02907440422570661,11.627881547525925,10.99999968866674,50.353646622578445,46.999999859999996
rank_calibrated_lasso,2018,30,5.766266743673467,7.3301403060823,0.6279019419873475,-0.04194870928363485,10.00631839164995,12.01665481005436,42.36726225853653,44.00000198
rank_calibrated_lasso,2019,30,7.637023398547276,8.917511143083772,0.43144416589587087,-0.014833319264408236,10.241811787169745,11.826523539400812,41.438864812800986,43.00000132
rank_calibrated_lasso,2020,30,7.274977289661816,9.54344874998592,0.4127867284758613,0.390019412718271,9.628685764329536,12.453958505312977,35.474854584697994,43.98103374
rank_calibrated_lasso,2021,30,7.477929667265283,10.407246345861768,0.13853863211610018,-0.15120536422863776,9.741634956137794,11.212899548808359,37.11142235502643,39.861110200000006
rank_calibrated_lasso,2022,30,7.712622035080028,9.541852732088287,0.2960286435020266,-0.06257824129373321,9.529225907256473,11.372480872410199,38.137417920017555,43.999999519999996
rank_calibrated_lasso,2023,30,5.24928107514607,6.568250153102374,0.5558485087830185,-0.055893044322947935,9.235112922470332,9.855623906514975,34.30868879057807,40.99999836
rank_calibrated_lasso,2024,30,7.61254427385113,9.166890800254794,0.5166877399508412,-0.050159165075557274,8.719946477289737,13.185850636345071,34.40502721650684,49.99999937999999
rank_calibrated_lasso,2025,30,8.06218208920411,10.725549409333182,0.33272963047097115,-0.04495915423774643,9.793955482949894,13.130117959866213,38.507807958693704,51.00000085999999
rank_calibrated_lasso,2026,30,8.834779818600365,11.762554105262584,0.25319710365248627,-0.04079795575291563,9.85438948270398,13.61126963453453,38.882252542403336,46.999999859999996
prior_season,2017,30,5.933333422666666,7.234178046099619,0.5674930994623728,4.373333317412668e-07,13.650396577877693,10.99999968866674,62.999999759999994,46.999999859999996
prior_season,2018,30,7.933333622,10.053191523093796,0.30009234887437364,-3.5533333289095024e-07,10.99999968866674,12.01665481005436,46.999999859999996,44.00000198
prior_season,2019,30,7.533333002666667,10.099504312985092,0.27073408289831324,5.4666667044974325e-08,12.01665481005436,11.826523539400812,44.00000198,43.00000132
prior_season,2020,30,8.107507088666669,11.336255090106086,0.17143918381305012,0.41643030333333303,11.826523539400812,12.453958505312977,43.00000132,43.98103374
prior_season,2021,30,10.750876718666662,14.035751807854728,-0.5668791336661494,-0.4164304946666661,12.453958505312977,11.212899548808359,43.98103374,39.861110200000006
prior_season,2022,30,8.166666016,10.088012011260545,0.21313405238231198,2.7333333273797205e-07,11.212899548808359,11.372480872410199,39.861110200000006,43.999999519999996
prior_season,2023,30,8.066665704,9.490344810596019,0.0727523549537521,-4.373333328070809e-07,11.372480872410199,9.855623906514975,43.999999519999996,40.99999836
prior_season,2024,30,8.466666323333333,10.503967007754973,0.36541413516988763,3.0066666525385697e-07,9.855623906514975,13.185850636345071,40.99999836,49.99999937999999
