measure,estimateMedian,ci95Low,ci95High
lassoMinusleague_mean_41.maeWins,-2.890119385438772,-3.4244970104047785,-2.410311765936008
lassoMinusleague_mean_41.rmseWins,-2.8060725093197663,-3.532733140135661,-2.1269016055827845
lassoMinuspreseason_market.maeWins,0.36272944384810124,-0.1181969521285748,0.7947310812996187
lassoMinuspreseason_market.rmseWins,0.6394866750406845,0.14669558001646482,1.1727875053249115
lassoMinusprior_season.maeWins,-1.3353144531627437,-2.016712004573685,-0.7395691356489502
lassoMinusprior_season.rmseWins,-1.758405609724889,-2.4004784958202565,-1.2013803898860393
lassoMinusprior_three_seasons.maeWins,-2.517539010336692,-3.150956709627265,-1.85213397808382
lassoMinusprior_three_seasons.rmseWins,-3.1854051008443323,-3.8480617505868127,-2.5368208193696837
league_mean_41.maeWins,10.011094395366666,9.235735434943335,10.680168550943334
league_mean_41.r2,-1.181376326475636e-05,-0.00011035672919386675,-2.220446049250313e-16
league_mean_41.rmseWins,12.019166184612052,11.314210066769503,12.663945718075796
preseason_market.maeWins,6.761296062966666,6.018378783841667,7.382396225941666
preseason_market.r2,0.49274099865631227,0.3996120845437195,0.5825283378971325
preseason_market.rmseWins,8.568069361902836,7.631902255567388,9.394560021890676
prior_season.maeWins,8.439171469133333,7.6466205302966666,9.278343315133334
prior_season.r2,0.1699860520369459,-0.012451899199978095,0.30638875803735544
prior_season.rmseWins,10.967294996808594,9.810435064742808,12.118444549216163
prior_three_seasons.maeWins,9.623696378355557,8.501733583905,10.572735593007222
prior_three_seasons.r2,-0.062399402190395414,-0.22507187029427514,0.09263193320039606
prior_three_seasons.rmseWins,12.415094775300208,10.999184842875554,13.51207905691152
rank_calibrated_lasso.maeWins,7.109395658849277,6.35924061338177,7.772562209965988
rank_calibrated_lasso.r2,0.41249841511750235,0.3208441887971025,0.5078864932110398
rank_calibrated_lasso.rmseWins,9.218211763470325,8.15704451476732,10.154206676987407
