season,season_end_year,bets,wins,losses,pushes,voids,win_rate_settled,amount_staked,settled_stake,net_profit,roi_on_settled_stake,model_mae_wins,market_mae_wins,model_rmse_wins,market_rmse_wins,cumulative_profit
2016-17,2017,30,16,14,0,0,0.5333333333333333,300.0,300.0,5.45454545454546,0.018181818181818202,7.188244803021259,4.233333333333333,9.439941265190765,5.197755926038338,5.45454545454546
2017-18,2018,30,17,13,0,0,0.5666666666666667,300.0,300.0,24.54545454545456,0.08181818181818187,7.594104842651499,5.766666666666667,9.62948939688147,7.3530039213009175,30.00000000000002
2018-19,2019,30,17,13,0,0,0.5666666666666667,300.0,300.0,24.54545454545456,0.08181818181818187,7.392472202536203,6.933333333333334,9.495425179195978,8.158839786799755,54.54545454545458
2019-20,2020,30,0,0,0,30,,300.0,0.0,0.0,,8.971625038504232,7.050563716000002,11.320447487963682,9.064112279729052,54.54545454545458
2020-21,2021,30,15,15,0,0,0.5,300.0,300.0,-13.636363636363614,-0.04545454545454538,7.212958986568691,5.733333333333333,8.977576936460682,7.619055059520177,40.90909090909097
2021-22,2022,30,17,13,0,0,0.5666666666666667,300.0,300.0,24.54545454545456,0.08181818181818187,8.38132746008335,6.933333333333334,9.702635317885475,8.99536917900909,65.45454545454552
2022-23,2023,30,14,16,0,0,0.4666666666666667,300.0,300.0,-32.72727272727271,-0.10909090909090904,6.888960251241206,6.266666666666667,8.026081724640504,7.531046850648764,32.72727272727281
2023-24,2024,30,13,17,0,0,0.43333333333333335,300.0,300.0,-51.818181818181806,-0.17272727272727267,8.666251753390048,6.566666666666666,10.868108523992381,7.885640958941342,-19.090909090908994
2024-25,2025,30,14,16,0,0,0.4666666666666667,300.0,300.0,-32.72727272727271,-0.10909090909090904,10.029211450171317,8.366666666666667,12.677982043579254,10.772650555921695,-51.818181818181706
2025-26,2026,30,19,11,0,0,0.6333333333333333,300.0,300.0,62.72727272727275,0.20909090909090916,9.01989763082989,7.466666666666667,12.618762133811138,9.5420123663722,10.909090909091042
