model,cv_rmse,mae,rmse,r2
extra_trees,0.1206302847393735,0.11123989935327795,0.1482389526943818,0.1737643706102565
ridge,0.12051419596674456,0.11709526105420967,0.15087016978578524,0.14417296580728345
tabfm_jax,,0.1145430754112193,0.15132305759128648,0.1390271457344242
elastic_net,0.11738964796785563,0.1140316836963939,0.1517455180446196,0.1342131443430119
random_forest,0.11863547905383097,0.11602993160689971,0.15217733605492625,0.129278642065088
gradient_boosting,0.12448719946910179,0.11527152499320753,0.15225895403666195,0.12834439548867949
train_mean_baseline,,0.13545049182777777,0.16308486884647783,-1.5151691447501392e-05
