team,season,season_end_year,wins,losses,win_pct,predicted_win_pct,training_seasons,selected_model,win_total_line,actual_wins_odds_source,actual_losses_odds_source,source_result,championship_odds,source_url,scheduled_games_for_line,predicted_wins_82,predicted_wins,predicted_wins_for_line,pick,model_edge_wins,comparison_actual_wins,model_abs_error_wins,market_abs_error_wins,grade,stake,profit,cash_return
New Orleans Pelicans,2016-17,2017,34,48,0.41463414,0.5818445754630297,3,extra_trees,36.5,34,48,under,+14500,https://www.basketball-reference.com/leagues/NBA_2017_preseason_odds.html,82,47.71125518796843,47.71125518796843,47.71125518796843,over,11.211255187968433,34.0,13.711255187968433,2.5,loss,10.0,-10.0,0.0
New York Knicks,2016-17,2017,31,51,0.37804878,0.44417678144939193,3,extra_trees,38.5,31,51,under,+7500,https://www.basketball-reference.com/leagues/NBA_2017_preseason_odds.html,82,36.42249607885014,36.42249607885014,36.42249607885014,under,-2.0775039211498623,31.0,5.422496078850138,7.5,win,10.0,9.090909090909092,19.090909090909093
Oklahoma City Thunder,2016-17,2017,47,35,0.5731707,0.4982253927717032,3,extra_trees,45.0,47,35,over,+6000,https://www.basketball-reference.com/leagues/NBA_2017_preseason_odds.html,82,40.85448220727966,40.85448220727966,40.85448220727966,under,-4.145517792720341,47.0,6.145517792720341,2.0,loss,10.0,-10.0,0.0
Orlando Magic,2016-17,2017,29,53,0.35365853,0.38047250663977117,3,extra_trees,37.5,29,53,under,+22500,https://www.basketball-reference.com/leagues/NBA_2017_preseason_odds.html,82,31.198745544461236,31.198745544461236,31.198745544461236,under,-6.301254455538764,29.0,2.198745544461236,8.5,win,10.0,9.090909090909092,19.090909090909093
Philadelphia 76ers,2016-17,2017,28,54,0.34146342,0.3815242039655143,3,extra_trees,23.5,28,54,over,+50000,https://www.basketball-reference.com/leagues/NBA_2017_preseason_odds.html,82,31.284984725172173,31.284984725172173,31.284984725172173,over,7.784984725172173,28.0,3.2849847251721727,4.5,win,10.0,9.090909090909092,19.090909090909093
Phoenix Suns,2016-17,2017,24,58,0.29268292,0.4085372315570192,3,extra_trees,29.5,24,58,under,+85000,https://www.basketball-reference.com/leagues/NBA_2017_preseason_odds.html,82,33.50005298767557,33.50005298767557,33.50005298767557,over,4.0000529876755735,24.0,9.500052987675573,5.5,loss,10.0,-10.0,0.0
Portland Trail Blazers,2016-17,2017,41,41,0.5,0.5097635222034844,3,extra_trees,45.5,41,41,under,+13000,https://www.basketball-reference.com/leagues/NBA_2017_preseason_odds.html,82,41.800608820685724,41.800608820685724,41.800608820685724,under,-3.6993911793142757,41.0,0.8006088206857243,4.5,win,10.0,9.090909090909092,19.090909090909093
Sacramento Kings,2016-17,2017,32,50,0.3902439,0.4602802084321849,3,extra_trees,33.5,32,50,under,+50000,https://www.basketball-reference.com/leagues/NBA_2017_preseason_odds.html,82,37.742977091439165,37.742977091439165,37.742977091439165,over,4.242977091439165,32.0,5.742977091439165,1.5,loss,10.0,-10.0,0.0
San Antonio Spurs,2016-17,2017,61,21,0.74390244,0.6482799596040881,3,extra_trees,57.5,61,21,over,+925,https://www.basketball-reference.com/leagues/NBA_2017_preseason_odds.html,82,53.15895668753522,53.15895668753522,53.15895668753522,under,-4.341043312464777,61.0,7.841043312464777,3.5,loss,10.0,-10.0,0.0
Toronto Raptors,2016-17,2017,51,31,0.6219512,0.5753179640449969,3,extra_trees,50.5,51,31,over,+5500,https://www.basketball-reference.com/leagues/NBA_2017_preseason_odds.html,82,47.17607305168975,47.17607305168975,47.17607305168975,under,-3.323926948310252,51.0,3.823926948310252,0.5,loss,10.0,-10.0,0.0
Utah Jazz,2016-17,2017,51,31,0.6219512,0.5850250496079851,3,extra_trees,47.5,51,31,over,+10000,https://www.basketball-reference.com/leagues/NBA_2017_preseason_odds.html,82,47.97205406785478,47.97205406785478,47.97205406785478,over,0.47205406785477777,51.0,3.0279459321452222,3.5,win,10.0,9.090909090909092,19.090909090909093
