season,season_end_year,bets,wins,losses,pushes,voids,win_rate_settled,amount_staked,settled_stake,net_profit,roi_on_settled_stake,model_mae_wins,market_mae_wins,model_rmse_wins,market_rmse_wins,cumulative_profit
2016-17,2017,30,16,14,0,0,0.5333333333333333,300.0,300.0,5.454545454545459,0.018181818181818195,6.069878480319823,4.233333333333333,7.663221385330791,5.197755926038338,5.454545454545459
2017-18,2018,30,19,11,0,0,0.6333333333333333,300.0,300.0,62.72727272727274,0.20909090909090913,6.699972323747691,5.766666666666667,8.38568409689323,7.3530039213009175,68.1818181818182
2018-19,2019,30,14,16,0,0,0.4666666666666667,300.0,300.0,-32.72727272727272,-0.10909090909090907,7.772201605075983,6.933333333333334,9.203339002086132,8.158839786799755,35.45454545454548
2019-20,2020,30,0,0,0,30,,300.0,0.0,0.0,,9.080591962786793,7.050563716000002,11.682028784994943,9.064112279729052,35.45454545454548
2020-21,2021,30,18,12,0,0,0.6,300.0,300.0,43.636363636363654,0.1454545454545455,7.16019801745957,5.733333333333333,9.21327511307641,7.619055059520177,79.09090909090914
2021-22,2022,30,18,12,0,0,0.6,300.0,300.0,43.63636363636365,0.1454545454545455,8.119112220515598,6.933333333333334,9.76096958558618,8.99536917900909,122.72727272727278
2022-23,2023,30,14,16,0,0,0.4666666666666667,300.0,300.0,-32.727272727272705,-0.10909090909090902,7.053096041819856,6.266666666666667,8.24741882471851,7.531046850648764,90.00000000000007
2023-24,2024,30,16,14,0,0,0.5333333333333333,300.0,300.0,5.45454545454546,0.018181818181818202,8.440905796039925,6.566666666666666,11.331323841990075,7.885640958941342,95.45454545454552
2024-25,2025,30,17,13,0,0,0.5666666666666667,300.0,300.0,24.54545454545456,0.08181818181818187,8.616887794358536,8.366666666666667,11.307879244902,10.772650555921695,120.00000000000009
2025-26,2026,30,17,13,0,0,0.5666666666666667,300.0,300.0,24.54545454545456,0.08181818181818187,9.447069171865474,7.466666666666667,12.16356611047213,9.5420123663722,144.54545454545465
